course_name,overview,requirements
Bachelor of Nursing (Honours),"Focusing on research, the honours year builds on the foundations established in your undergraduate degree. You will study a particular topic of professional interest in greater depth and create pathways to specialisations and further research or study. The Bachelor of Nursing (Honours) is a specialised year of study taken after the completion of a Bachelor of Nursing, entry to practice Master degree or combined degrees. For entry into senior nursing and midwifery roles there’s now an increasing industry expectation for graduates with high-level research and evaluation skills. Honours offers you a competitive edge in the job market and is designed to provide you with the knowledge and research skills to undertake a postgraduate research degree, advanced professional training or to pursue diverse employment opportunities. The School of Nursing and Midwifery offers research in areas influencing quality and patient safety in health care. These include: clinical risk and symptom management, chronic disease management, effective health delivery, health care ethics, decision making, aged care, midwifery and translational research. Throughout this course you will gain a deep understanding of the philosophies, ethics and principles of health care research; knowledge of a range of research approaches; skills in data management, methods and tools for research practice; and skills in planning, implementing and reporting research studies. This course will give you an understanding of how to develop a research proposal, from the identification of a research issue and literature review through to writing and submitting the proposal for approval by an ethics committee. You will undertake a research project and an individual research thesis in the area of nursing practice and develop evaluation and research skills in nursing practice and health service delivery. You will be qualified for rewarding roles in all areas of nursing including acute care/sub-acute care, emergency, aged care, paediatrics and rehabilitation; in hospitals, government departments, district health services, the education sector, business and private industry. Alternatively, you may decide to undertake a research degree such as a research Masters or Doctor of Philosophy (PhD).","Entry requirements Higher education study If you successfully completed your bachelor degree, your selection is based on the following. Education This course uses your entire academic record as part of its selection considerations. Entry will be based on performance in Bachelor Degree or major in a related discipline with a WAM of at least 65 in all level 3 and level 4 Deakin units (or in final year units for awards from other providers) or other evidence of academic capability judged to be equivalent. Prospective students should note that selection as an Honours student depends not only on academic suitability, but also on the availability of a suitable supervisor for the research area, and the match of the research with the philosophy of nursing at Deakin. Applicants will be required to have completed the Bachelor or Nursing, Bachelor of Nursing (Preregistration) or Bachelor of Nursing Studies (Post-registration) with at least a mid-credit average to be eligible for entry. Applicants from other universities will be evaluated on an individual basis, but will be required to have completed a Bachelor of Nursing program and have achieved at least a mid-credit average to be eligible for entry. No Recognition of Prior Learning will be given to applicants entering the honours sequence. Students who have already completed substantial research should apply for the masters preliminary program rather than for honours. Note: This course is not a nursing registration program. All applicants must meet the minimum English language requirements. Please read about other ways of satisfying the English language proficiency requirement. Selection is competitive and meeting the minimum entry requirements does not guarantee selection. Our Admission Criteria and Selection Policy outlines the principles of selection."
Graduate Certificate of Intensive Care Nursing,"With job growth of 13.9% projected for registered nurses by 2026,* there is an industry demand for nurses with advanced specialty skills. As a registered nurse, Deakin’s Graduate Certificate of Intensive Care Nursing will equip you with the knowledge and skills required to comprehensively care for critically ill patients in intensive care and high dependency units at an advanced practice level.Ranked 20th in the world^, our School of Nursing and Midwifery is one of the largest and best in Australia. By studying your Graduate Certificate of Intensive Care Nursing at Deakin, you will be guided through industry-informed coursework by experts in critical care nursing and have access to the School’s extensive cutting-edge research, which is recognised as well above world standard#. Are you ready to build upon your existing knowledge and skills and play a greater role in the care of the critically ill? If you want to take the next step in your nursing career, our Graduate Certificate of Intensive Care Nursing prepares you to practise effectively at an advanced practice level in critical care settings. As a graduate you will demonstrate ethical, safe, high-quality, expert clinical decision-making abilities within an interdisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person or client-centred care Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study, you can immerse yourself in your speciality practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: evaluate and intervene in response to complex data from patient and technologically-derived sources develop an advanced understanding of normal physiology, and the pathophysiology of illness and injury of critically ill patients perform focused, systematic and methodical patient assessments demonstrate advanced clinical judgement leading to autonomous decision-making enhance your professionalism and leadership skills. Graduates are prepared to handle the contemporary challenges intensive care nurses may face in a course that responds to industry trends and demands. You will learn how to make a difference through roles in areas such as practice, education, leadership and research. *2021 Employment Outlook – for the five years to November 2026, Australian Government National Skills Commission^2022 ShanghaiRankings Ranking of Academic Subjects#Excellence in Research Australia (ERA) 2018","Entry requirements Entry information Bachelor of Nursing or equivalent, and Registration as a registered nurse with the Nursing and Midwifery Board of Australia with no conditions and restrictions and Applicants must provide evidence of employment in Australia working in a relevant specialist area with appropriate clinical supervision for the duration of the course. As the Specialisation pathways courses are offered collaboratively between the University and a range of partnership/ collaborating hospitals, student selection into the course is a joint process. Students must independently apply for and seek permanent employment within a collaborating hospital to support and provide a sound clinical learning environment for the clinical program requirements of the course. Applicants are required to complete an Applicant Declaration form to be uploaded with their application.Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note: meeting minimum entry requirements does not guarantee an offer of a place. Entry into this program is based on competitive selection and there may be limited places available. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library."
Graduate Certificate of Critical Care Nursing,"Critical care nurses work in some of the most complex health environments across emergency departments, ICUs and other high dependency units. As a registered nurse, Deakin’s Graduate Certificate of Critical Care Nursing will build on your existing knowledge and skills, preparing you to provide high-quality care to the critically ill across a range of settings.Our School of Nursing and Midwifery is ranked 20th in the world*. It is one of Australia’s best and most established schools with cutting-edge nursing research recognised as well above world standard. Our strong industry connections mean you will be guided by experts in critical care nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework of critical care nursing.Are you ready to build on you existing knowledge and skills and take the next step in your nursing career? Deakin’s Graduate Certificate of Critical Care Nursing prepares you to take the next step in your nursing career. Our graduates are able to demonstrate ethical, safe, high-quality and expert clinical decision-making abilities within an interdisciplinary team. Your specialised theoretical knowledge, evidence-based practice and person-centred care will allow you to practise effectively across a range of settings, ensuring you are well placed to meet the industry demand for nurses with speciality skills. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your specialty practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nursing students. Live-streaming seminars and class discussions will encourage critical thinking, problem-solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: analyse and provide advanced patient care in response to complex data from patient and technologically derived sources perform focused, systematic and methodical patient assessments develop an advanced understanding of normal physiology, and the pathophysiology of illness and injury of critically ill patients collaboratively assess and provide advanced management of specific patient groups: paediatrics, trauma, gynaecological, obstetric, oncology, older persons and those presenting with cardiovascular, renal, neurological and respiratory dysfunction develop greater decision-making autonomy, critical thinking and leadership skills, advanced clinical judgement, and enhanced professionalism. Graduates are prepared to handle the contemporary challenges critical care nurses may face with a course that responds to industry trends and demands. You will learn how to make a difference through roles in areas such as practice, education, leadership and research.* *2022 ShanghaiRankings Ranking of Academic Subjects. ^Excellence in Research Australia (ERA) 2018.","Entry requirements Entry information Bachelor of Nursing or equivalent, and Registration as a registered nurse with the Nursing and Midwifery Board of Australia with no conditions and restrictions and Applicants must provide evidence of employment in Australia in a relevant specialist area with appropriate clinical supervision for the duration of the course. As the Specialisation pathways courses are offered collaboratively between the University and a range of partnership/ collaborating hospitals, student selection into the course is a joint process. Students must independently apply for and seek permanent employment within a collaborating hospital to support and provide a sound clinical learning environment for the clinical program requirements of the course. Applicants are required to complete an Applicant Declaration form to be uploaded with their application.Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note: meeting minimum entry requirements does not guarantee an offer of a place. Entry into this program is based on competitive selection and there may be limited places available. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library."
Graduate Diploma of Emergency Nursing,"Nurses working in emergency departments are presented with the most varied, complex and often critically ill patients. The advanced specialist skills required to assess and prioritise patients presenting to emergency departments are in demand now more than ever in one of the highest growth areas of the health sector*. Deakin’s Graduate Diploma of Emergency Nursing prepares you to meet that demand.Ranked 20th in the world^, our School of Nursing and Midwifery is one of the largest and best in Australia. By studying your Graduate Diploma of Emergency Nursing at Deakin, you will be guided through industry-informed coursework by experts in emergency care nursing and have access to the School’s extensive cutting-edge research, which is recognised as well above world standard#.Are you ready for the fast-pace and unique challenges of emergency nursing? If you want to take the next step in your nursing career, our Graduate Diploma of Emergency Nursing will prepare you to practise effectively at an advanced practice level in emergency care settings. As a graduate you will demonstrate ethical, safe, high-quality, expert clinical decision-making abilities within an interdisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person-centred care. As a student of Deakin’s Graduate Diploma of Emergency Nursing you will be challenged to advance your professional judgement by exploring the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework around speciality emergency care. Second year elective units allow you to pursue your specific areas of interest and career goals. You can choose from complementary areas of practice to your specialisation, or undertake studies preparing you for roles in education, leadership or management. You will also have the opportunity to select a unit from anywhere across the university, further expanding your skill set. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your speciality medical practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course will enable you to: assess, prioritise, and manage ill and injured patients of all ages cover the principles and concepts of patient assessment, triage, and risk assessment and management in a complex and dynamic practice setting practise critical thinking and reflection regarding current health environment issues and specialty nursing practice Assess and manage the care of specific patient groups: paediatrics, major and minor trauma, mental health gynaecological, obstetric, oncology, and older persons develop greater decision-making autonomy, critical thinking and leadership skills, advanced clinical judgement and professional behaviours required for safe patient care, effective teamwork, and career advancement. You will be challenged to become a leader in evidence-based practice, and a change agent to improve the quality of nursing care and patient outcomes in emergency departments. Graduates are prepared to handle the contemporary challenges emergency nurses may face with a course that responds to industry trends and demands, and expectations from professional bodies. You will learn how to make a difference through roles in areas such as practice, education, leadership and research. *2021 Employment Outlook - for the five years to November 2026, Australian Government National Skills Commission.^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018.","Entry requirements Entry information Bachelor of Nursing or equivalent, and Registration as a registered nurse with the Nursing and Midwifery Board of Australia with no conditions and restrictions and Applicants must provide evidence of employment in Australia working in a relevant specialist area with appropriate clinical supervision for the duration of the course. As the Specialisation pathways courses are offered collaboratively between the University and a range of partnership/ collaborating hospitals, student selection into the course is a joint process. Students must independently apply for and seek permanent employment within a collaborating hospital to support and provide a sound clinical learning environment for the clinical program requirements of the course. Applicants are required to complete an Applicant Declaration form to be uploaded with their application.Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note: meeting minimum entry requirements does not guarantee an offer of a place. Entry into this program is based on competitive selection and there may be limited places available. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library."
Bachelor of Science (Honours),"Deakin’s Bachelor of Science (Honours) continues your studies in the exciting world of scientific discovery, while you forge your own unique path through research exploration in either life and environmental sciences, chemistry or mathematics. You will undertake focused research in your area of interest and develop skills before launching into a successful career.You’ll explore research of global significance and develop crucial skills in research design and implementation, critical thinking, data analysis, digital literacy and scientific communication. You will also develop valuable skills for lifelong learning – an essential professional attribute in this ever-evolving field.Ready to see how far your scientific curiosity can take you? The coursework component of the honours program provides you with essential knowledge in the areas that underpin research – experimental design, quantitative analysis and science professionalism. The research project component enables you to develop the research skills necessary to investigate your area of interest. Importantly, you’ll be guided every step of the way by experts who are leaders in their field. Our teaching staff are active contributors to the science industry, putting them right at the forefront of scientific research and making them well placed to pass on the skills that are most valued by employers. You’ll graduate with skills that provide you with a competitive edge in the job market or ready to embark on further study and research training (including masters and PhD programs).","Entry requirements Entry information Entry will be based on performance in: a Bachelor degree or major in a related discipline with a WAM (Weighted Average Mark) of at least 65% in all level 3 and level 4 units (for Deakin awards) or final year units (for awards from other providers) OR other evidence of academic capability judged to be equivalent Deakin University offers admission to undergraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements.Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course.For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Graduate Diploma of Cardiac Nursing,"Cardiovascular diseases cause 27% of deaths in Australia.* As a registered nurse, Deakin’s Graduate Diploma of Cardiac Nursing will equip you with the analytical, practical, communication and leadership skills needed to perform a senior role in a multidisciplinary health team across a range of specialist cardiac settings.Study with one of Australia’s largest and most established nursing schools, ranked 20th in the world for nursing courses.^ Your learning will be informed by the latest trends in cardiac nursing practice and cutting-edge research, which is recognised as well above world standard.# Our strong industry connections mean you will be guided by experts in cardiac care nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework around cardiac nursing and interventional cardiology.Are you ready for a senior position in cardiac care? If you want to take the next step in your nursing career, our Graduate Diploma of Cardiac Nursing will prepare you to become a leader and practise effectively at an advanced practice level in cardiac care settings. As a graduate you will demonstrate ethical, safe, high-quality, expert clinical decision-making abilities within an interdisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person-centred care. As a student of Deakin’s Graduate Diploma of Cardiac Nursing you will be challenged to advance your professional judgement by exploring the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework around cardiac nursing and interventional cardiology. Second year elective units allow you to pursue your specific areas of interest and career goals. You can choose from complementary areas of practice to your specialisation, or undertake studies preparing you for roles in education, leadership or management. You will also have the opportunity to select a unit from anywhere across the university, further expanding your skill set. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your specialty practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: evaluate and intervene in response to complex data from patient and technologically-derived sources develop an advanced understanding of normal physiology, and the pathophysiology of illness and injury of critically ill patients perform focused, systematic and methodical patient assessments demonstrate advanced clinical judgement leading to autonomous decision-making assess and manage patients with a variety of complex cardiovascular conditions understand the risk management and quality nursing care required for cardiac patients undergoing interventional procedures explore advanced interventional treatment modalities combine advanced communication skills with professional knowledge to promote safe, high-quality care of patients across a range of specialist cardiac settings. You will be challenged to become a leader in evidence-based practice, and a change agent to improve the quality of nursing care and patient outcomes across a range of specialist cardiac settings. Graduates are prepared to handle the contemporary challenges nurses may face in cardiac nursing and interventional cardiology with a course that responds to industry trends and demands. You will learn how to make a difference through senior roles in areas such as practice, education, leadership and research. *Australian Government, Department of Health and Aged Care.^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018.","Entry requirements Entry information Bachelor of Nursing or equivalent, and Registration as a registered nurse with the Nursing and Midwifery Board of Australia with no conditions and restrictions and Applicants must provide evidence of employment in Australia working in a relevant specialist area with appropriate clinical supervision for the duration of the course. As the Specialisation pathways courses are offered collaboratively between the University and a range of partnership/ collaborating hospitals, student selection into the course is a joint process. Students must independently apply for and seek permanent employment within a collaborating hospital to support and provide a sound clinical learning environment for the clinical program requirements of the course. Applicants are required to complete an Applicant Declaration form to be uploaded with their application.Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note: meeting minimum entry requirements does not guarantee an offer of a place. Entry into this program is based on competitive selection and there may be limited places available. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library."
Graduate Certificate of Cardiac Nursing,"Cardiovascular diseases cause 27% of deaths in Australia.* As a registered nurse, Deakin’s Graduate Certificate of Cardiac Nursing will equip you with the analytical, practical, communication and leadership skills needed to be a high-performing member of a multidisciplinary health team across a range of specialist cardiac settings. Our School of Nursing and Midwifery has state-of-the-art facilities and is one of Australia’s most established and largest. Ranked 20th in the world, the School’s cutting-edge research is recognised as well above world standard.# Our strong industry connections mean you will be guided through world-class course work by experts in cardiac care nursing. Are you ready to be part of the future of cardiac care? If you want to take the next step in your nursing career, our Graduate Certificate of Cardiac Nursing prepares you to practise effectively at an advanced practice level in cardiac care settings. As a graduate you will demonstrate ethical, safe, high-quality, expert clinical decision-making abilities within an interdisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person-centred care. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your specialty practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: evaluate and intervene in response to complex data from patient and technologically-derived sources develop an advanced understanding of normal physiology, and the pathophysiology of illness and injury of critically ill patients perform focused, systematic and methodical patient assessments demonstrate advanced clinical judgement leading to autonomous decision-making assess and manage patients with a variety of complex cardiovascular conditions understand the risk management and quality nursing care required for cardiac patients undergoing interventional procedures explore advanced interventional treatment modalities. Graduates are prepared to handle the contemporary challenges nurses may face in cardiac nursing and interventional cardiology with a course that responds to industry trends and demands. You will learn how to make a difference through roles in areas such as practice, education, leadership and research. *Australian Government, Department of Health and Aged Care. ^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018.","Entry requirements Entry information Bachelor of Nursing or equivalent, and Registration as a registered nurse with the Nursing and Midwifery Board of Australia with no conditions and restrictions and Applicants must provide evidence of employment in Australia working in a relevant specialist area with appropriate clinical supervision for the duration of the course. As the Specialisation pathways courses are offered collaboratively between the University and a range of partnership/ collaborating hospitals, student selection into the course is a joint process. Students must independently apply for and seek permanent employment within a collaborating hospital to support and provide a sound clinical learning environment for the clinical program requirements of the course. Applicants are required to complete an Applicant Declaration form to be uploaded with their application. Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note: meeting minimum entry requirements does not guarantee an offer of a place. Entry into this program is based on competitive selection and there may be limited places available. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library."
Graduate Certificate of Emergency Nursing,"Nurses working in emergency departments are often presented with the most varied, complex and often critically ill patients. As a registered nurse, Deakin’s Graduate Certificate of Emergency Nursing will build on your existing knowledge and skills, preparing you to practise effectively at an advanced practice level in emergency care settings.Our School of Nursing and Midwifery is ranked 20th in the world^. It is one of Australia’s best and most established schools with our cutting-edge nursing research recognised as well above world standard#. Our strong industry connections mean you will be guided by experts in emergency and critical care nursing as you explore the current and emerging trends, concept, knowledge and evidence that provides the policy and practice framework of emergency nursing.Are you ready to advance your existing knowledge and skills and take the next step in your nursing career? As a graduate of Deakin’s Graduate Certificate of Emergency Nursing you will demonstrate ethical, safe, high quality, expert clinical decision-making abilities within an interdisciplinary team. Your specialised theoretical knowledge, evidence-based practice and person-centred care will allow you to practise effectively at an advanced practice level in emergency care settings, ensuring you are well placed to meet the industry demand for nurses with speciality skills. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your specialty practice area with one of our numerous metropolitan, rural and regional health partners across Australia Our innovative online program delivers a rich, interactive and empowering learning experience designed for nurses seeking a career in speciality practice. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: assess, prioritise, and manage ill and injured patients of all ages apply the principles, and concepts of patient assessment, triage, and risk assessment and management in a complex and dynamic practice setting assess and manage the care of specific patient groups: paediatrics, major and minor trauma, mental health, gynaecological, obstetric, oncology, older persons develop the decision-making autonomy, critical thinking and leadership skills, advanced clinical judgement and behaviours required for safe patient care, effective teamwork, and career advancement. Graduates are prepared to handle the contemporary challenges emergency nurses may face in a course that responds to industry trends and demands, and expectations from professional bodies. You will learn how to make a difference through roles in areas such as practice, education, leadership and research. ^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018.","Entry requirements Entry information Bachelor of Nursing or equivalent, and Registration as a registered nurse with the Nursing and Midwifery Board of Australia with no conditions and restrictions and Applicants must provide evidence of employment in Australia working in a relevant specialist area with appropriate clinical supervision for the duration of the course. As the Specialisation pathways courses are offered collaboratively between the University and a range of partnership/ collaborating hospitals, student selection into the course is a joint process. Students must independently apply for and seek permanent employment within a collaborating hospital to support and provide a sound clinical learning environment for the clinical program requirements of the course. Applicants are required to complete an Applicant Declaration form to be uploaded with their application.Deakin University offers admission to postgraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements. Please note: meeting minimum entry requirements does not guarantee an offer of a place. Entry into this program is based on competitive selection and there may be limited places available. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library."
Graduate Certificate of Health and Medical Research,"Help improve the lives and communities we serve by driving evidence-based solutions that have a real-world impact across Australia and around the globe. Deakin’s Graduate Certificate of Health and Medical Research provides the opportunity to advance your career in clinical research; offering a unique and fast-tracked pathway to PhD study for graduates of undergraduate and postgraduate courses where the requirements for PhD entry have not been fulfilled. Are you ready to participate in cutting-edge research and drive change in your field? Under the guidance of some of the Australia’s leading researchers and benefiting from access to world-class facilities, you will graduate with skills highly sought after for academia, research institutes, hospitals, medical bodies, as well as government health and science agencies. Additionally, the unique structure of this course allows the minimum requirements for PhD entry at Deakin University, which is a 2 credit point research thesis, to be met as well as providing experiential training around project planning, execution, presentation, and thesis writing. Upon completing this course students will have utilised and improved on a range of skills such as critical thinking, complex problem solving, communication, and technical skills due to the composition of assessment tasks in research training, including ethics, and experiential research to demonstrate discipline specific knowledge and capabilities.","Entry requirements Entry information Entry will be based on performance in: A Bachelor degree or higher in a discipline related to the proposed research project with a WAM >65 in final year units OR Doctor of Medicine (H911) students will have had to have successfully completed a minimum of 8 credit points of the Doctor of Medicine. Entry will also be determined by the availability of supervisors and resources. The projects would be listed via the School of Medicine project booklet, which will be modified to also include projects suitable for Graduate Certificate students. This will create a resource where prospective students can find projects that suit their interests.All applicants must meet the minimum English language requirements. Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course. For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
Bachelor of Environmental Science (Honours),"The Bachelor of Environmental Science (Honours) allows you to enhance your understanding of a chosen environmental science discipline, while building key research and transferable skills that enhance your employment options and prepare you for further study. Honours is an optional year of specialised study that allows you to combine the theory and practical skills gained throughout your undergraduate studies. It is an opportunity to showcase your expertise in a discipline you are passionate about, and to develop invaluable research and life skills that will stay with you throughout your entire career.You’ve worked hard for your undergraduate degree. Why not take the next step with an honours degree that launches your career forward? With the support and supervision of experienced teachers who are leaders in their respective fields, you will explore research of national and global significance in areas including: behaviour, ecology, evolution and ecophysiology ecological risk assessment environmental management and sustainability fisheries and aquaculture marine and freshwater biology wildlife and conservation biology. The coursework component of this honours program equips you with the essential knowledge that underpins research – experimental design, quantitative analysis, scientific communication and ethics. The research project component enables you to develop the research skills necessary to investigate your area of interest. In addition to being an ideal pathway to further study and research training (including masters and PhD programs), the Bachelor of Environmental Science (Honours) broadens your career options and allows you to graduate with specialised knowledge and experience that puts you ahead of the pack.","Entry requirements Entry information Entry will be based on performance in: a Bachelor degree or major in a related discipline with a WAM (Weighted Average Mark) of at least 65% in all level 3 and level 4 units (for Deakin awards) or final year units (for awards from other providers) OR other evidence of academic capability judged to be equivalent Deakin University offers admission to undergraduate courses through a number of Admission categories. All applicants must meet the minimum English language requirements.Please note that meeting the minimum admission requirements does not guarantee selection, which is based on merit, likelihood of success and availability of places in the course.For more information on the Admission Criteria and Selection (Higher Education Courses) Policy visit the Deakin Policy Library"
