course_name,o_summarized,overview
Bachelor of Nursing (Honours),"The Bachelor's Degree is an undergraduate program that focuses on providing students with foundational knowledge in nursing practice through clinical experiences at hospitals/clinics where they learn about the health care system and its challenges. The Honours Year provides a deeper understanding by studying specific topics of professional interest such as research methods or patient safety, which are essential skills for senior roles within healthcare organizations. Additionally, it offers opportunities to pursue advanced education in nursing practice through Master's degree programs (e.g., Clinical Nurse Specialist) or Doctoral degrees like PhDs that focus on furthering the field and advancing knowledge related to health care delivery systems such as public policy analysis of clinical decision-making processes for patients with chronic diseases.","Focusing on research, the honours year builds on the foundations established in your undergraduate degree. You will study a particular topic of professional interest in greater depth and create pathways to specialisations and further research or study. The Bachelor of Nursing (Honours) is a specialised year of study taken after the completion of a Bachelor of Nursing, entry to practice Master degree or combined degrees. For entry into senior nursing and midwifery roles there’s now an increasing industry expectation for graduates with high-level research and evaluation skills. Honours offers you a competitive edge in the job market and is designed to provide you with the knowledge and research skills to undertake a postgraduate research degree, advanced professional training or to pursue diverse employment opportunities. The School of Nursing and Midwifery offers research in areas influencing quality and patient safety in health care. These include: clinical risk and symptom management, chronic disease management, effective health delivery, health care ethics, decision making, aged care, midwifery and translational research. Throughout this course you will gain a deep understanding of the philosophies, ethics and principles of health care research; knowledge of a range of research approaches; skills in data management, methods and tools for research practice; and skills in planning, implementing and reporting research studies. This course will give you an understanding of how to develop a research proposal, from the identification of a research issue and literature review through to writing and submitting the proposal for approval by an ethics committee. You will undertake a research project and an individual research thesis in the area of nursing practice and develop evaluation and research skills in nursing practice and health service delivery. You will be qualified for rewarding roles in all areas of nursing including acute care/sub-acute care, emergency, aged care, paediatrics and rehabilitation; in hospitals, government departments, district health services, the education sector, business and private industry. Alternatively, you may decide to undertake a research degree such as a research Masters or Doctor of Philosophy (PhD)."
Graduate Certificate of Intensive Care Nursing,"The Bachelor's Degree is an undergraduate program that focuses on providing students with foundational knowledge and skills required for nursing practice through clinical experiences at hospitals/clinics. The Honours Year provides a deeper understanding by studying specific topics of professional interest such as research methods or patient safety which are essential skill sets to have in senior roles within healthcare organizations, including critical care settings where patients require advanced medical attention due to their complex health conditions and needs for specialized nursing practice expertise that is not available at lower levels.
    With job growth projected by the Australian Government National Skills Commission^20212 as high (13%) between 2021-2026 in registered nurses with a Bachelor's degree, there are opportunities across various healthcare settings such as hospitals/clinics and government departments to advance your career through further education or specialized roles.
The Graduate Certificate of Inteinsiive Care Nursing is an advanced practice level course that prepares you for the role of critical care nurse in intensive care units (ICUs) where patients require a high degree of medical attention due to their complex health conditions and needs, such as respiratory failure requiring mechanical ventilation or septic shock.","With job growth of 13.9% projected for registered nurses by 2026,* there is an industry demand for nurses with advanced specialty skills. As a registered nurse, Deakin’s Graduate Certificate of Intensive Care Nursing will equip you with the knowledge and skills required to comprehensively care for critically ill patients in intensive care and high dependency units at an advanced practice level.Ranked 20th in the world^, our School of Nursing and Midwifery is one of the largest and best in Australia. By studying your Graduate Certificate of Intensive Care Nursing at Deakin, you will be guided through industry-informed coursework by experts in critical care nursing and have access to the School’s extensive cutting-edge research, which is recognised as well above world standard#. Are you ready to build upon your existing knowledge and skills and play a greater role in the care of the critically ill? If you want to take the next step in your nursing career, our Graduate Certificate of Intensive Care Nursing prepares you to practise effectively at an advanced practice level in critical care settings. As a graduate you will demonstrate ethical, safe, high-quality, expert clinical decision-making abilities within an interdisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person or client-centred care Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study, you can immerse yourself in your speciality practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: evaluate and intervene in response to complex data from patient and technologically-derived sources develop an advanced understanding of normal physiology, and the pathophysiology of illness and injury of critically ill patients perform focused, systematic and methodical patient assessments demonstrate advanced clinical judgement leading to autonomous decision-making enhance your professionalism and leadership skills. Graduates are prepared to handle the contemporary challenges intensive care nurses may face in a course that responds to industry trends and demands. You will learn how to make a difference through roles in areas such as practice, education, leadership and research. *2021 Employment Outlook – for the five years to November 2026, Australian Government National Skills Commission^2022 ShanghaiRankings Ranking of Academic Subjects#Excellence in Research Australia (ERA) 2018"
Graduate Certificate of Critical Care Nursing,"The Graduate Certificate of Critical Care Nursing at Deakin University is an online program that prepares students to provide high-quality care for critically ill patients across a range of settings such as emergency departments and intensive care units through evidence-based practice with person-centeredness in mind. The course offers advanced theoretical knowledge on critical illness, normal physiology, pathophysiology, assessment techniques, patient management strategies, collaboration skills within interdisciplinary teams, decision making autonomy, leadership development, professionalism enhancement, clinical judgment improvement, research opportunities for graduates and enhanced career prospects through industry connections to work with top-rated health partners. The program is designed in a way that allows students the opportunity of learning at their own pace without compromising quality or support from expert teaching staff who provide live streaming seminars on critical thinking skills development while collaborating within interdisciplinary teams as well as enhancing teamwork, problem solving and decision making abilities through evidence based practice with patient centeredness to ensure high-quality care for critically ill patients.","Critical care nurses work in some of the most complex health environments across emergency departments, ICUs and other high dependency units. As a registered nurse, Deakin’s Graduate Certificate of Critical Care Nursing will build on your existing knowledge and skills, preparing you to provide high-quality care to the critically ill across a range of settings.Our School of Nursing and Midwifery is ranked 20th in the world*. It is one of Australia’s best and most established schools with cutting-edge nursing research recognised as well above world standard. Our strong industry connections mean you will be guided by experts in critical care nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework of critical care nursing.Are you ready to build on you existing knowledge and skills and take the next step in your nursing career? Deakin’s Graduate Certificate of Critical Care Nursing prepares you to take the next step in your nursing career. Our graduates are able to demonstrate ethical, safe, high-quality and expert clinical decision-making abilities within an interdisciplinary team. Your specialised theoretical knowledge, evidence-based practice and person-centred care will allow you to practise effectively across a range of settings, ensuring you are well placed to meet the industry demand for nurses with speciality skills. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your specialty practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nursing students. Live-streaming seminars and class discussions will encourage critical thinking, problem-solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: analyse and provide advanced patient care in response to complex data from patient and technologically derived sources perform focused, systematic and methodical patient assessments develop an advanced understanding of normal physiology, and the pathophysiology of illness and injury of critically ill patients collaboratively assess and provide advanced management of specific patient groups: paediatrics, trauma, gynaecological, obstetric, oncology, older persons and those presenting with cardiovascular, renal, neurological and respiratory dysfunction develop greater decision-making autonomy, critical thinking and leadership skills, advanced clinical judgement, and enhanced professionalism. Graduates are prepared to handle the contemporary challenges critical care nurses may face with a course that responds to industry trends and demands. You will learn how to make a difference through roles in areas such as practice, education, leadership and research.* *2022 ShanghaiRankings Ranking of Academic Subjects. ^Excellence in Research Australia (ERA) 2018."
Graduate Diploma of Emergency Nursing,"The Graduate Diploma of Emergency Nursing is a program that prepares nurses with advanced specialist skills required for emergency care settings such as assessment and triage techniques, risk management strategies, patient prioritization processes, critical thinking abilities to make decisions regarding patients' health needs in complex environments like the ED. The course focuses on evidence-based practice principles while also providing opportunities for students to explore their areas of interest through elective units or unit choices from across Deakin University's nursing program. With a strong industry connection and access to expert teaching staff, online learning is an innovative option that allows learners at all stages in life to pursue higher education without compromising quality or support.","Nurses working in emergency departments are presented with the most varied, complex and often critically ill patients. The advanced specialist skills required to assess and prioritise patients presenting to emergency departments are in demand now more than ever in one of the highest growth areas of the health sector*. Deakin’s Graduate Diploma of Emergency Nursing prepares you to meet that demand.Ranked 20th in the world^, our School of Nursing and Midwifery is one of the largest and best in Australia. By studying your Graduate Diploma of Emergency Nursing at Deakin, you will be guided through industry-informed coursework by experts in emergency care nursing and have access to the School’s extensive cutting-edge research, which is recognised as well above world standard#.Are you ready for the fast-pace and unique challenges of emergency nursing? If you want to take the next step in your nursing career, our Graduate Diploma of Emergency Nursing will prepare you to practise effectively at an advanced practice level in emergency care settings. As a graduate you will demonstrate ethical, safe, high-quality, expert clinical decision-making abilities within an interdisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person-centred care. As a student of Deakin’s Graduate Diploma of Emergency Nursing you will be challenged to advance your professional judgement by exploring the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework around speciality emergency care. Second year elective units allow you to pursue your specific areas of interest and career goals. You can choose from complementary areas of practice to your specialisation, or undertake studies preparing you for roles in education, leadership or management. You will also have the opportunity to select a unit from anywhere across the university, further expanding your skill set. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your speciality medical practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course will enable you to: assess, prioritise, and manage ill and injured patients of all ages cover the principles and concepts of patient assessment, triage, and risk assessment and management in a complex and dynamic practice setting practise critical thinking and reflection regarding current health environment issues and specialty nursing practice Assess and manage the care of specific patient groups: paediatrics, major and minor trauma, mental health gynaecological, obstetric, oncology, and older persons develop greater decision-making autonomy, critical thinking and leadership skills, advanced clinical judgement and professional behaviours required for safe patient care, effective teamwork, and career advancement. You will be challenged to become a leader in evidence-based practice, and a change agent to improve the quality of nursing care and patient outcomes in emergency departments. Graduates are prepared to handle the contemporary challenges emergency nurses may face with a course that responds to industry trends and demands, and expectations from professional bodies. You will learn how to make a difference through roles in areas such as practice, education, leadership and research. *2021 Employment Outlook - for the five years to November 2026, Australian Government National Skills Commission.^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018."
Bachelor of Science (Honours),"The Bachelor of Science Honours program at Deakin University provides students who have completed their high school education an opportunity for continued academic growth. The coursework component focuses on essential knowledge in the areas that underpin scientific discovery while developing skills such as critical thinking, data analysis and communication to prepare graduates with a competitive edge in both academia or industry careers. Research projects allow participants to explore specific research interests within various fields of study before graduating from Deakin University's Bachelor program.","Deakin’s Bachelor of Science (Honours) continues your studies in the exciting world of scientific discovery, while you forge your own unique path through research exploration in either life and environmental sciences, chemistry or mathematics. You will undertake focused research in your area of interest and develop skills before launching into a successful career.You’ll explore research of global significance and develop crucial skills in research design and implementation, critical thinking, data analysis, digital literacy and scientific communication. You will also develop valuable skills for lifelong learning – an essential professional attribute in this ever-evolving field.Ready to see how far your scientific curiosity can take you? The coursework component of the honours program provides you with essential knowledge in the areas that underpin research – experimental design, quantitative analysis and science professionalism. The research project component enables you to develop the research skills necessary to investigate your area of interest. Importantly, you’ll be guided every step of the way by experts who are leaders in their field. Our teaching staff are active contributors to the science industry, putting them right at the forefront of scientific research and making them well placed to pass on the skills that are most valued by employers. You’ll graduate with skills that provide you with a competitive edge in the job market or ready to embark on further study and research training (including masters and PhD programs)."
Graduate Diploma of Cardiac Nursing,"The Graduate Diploma Cardiac Nursing program at Deakin University is designed to equip registered nurses with the analytical skills required for senior roles within a multidisciplinary team caring for patients undergoing cardiac intervention and treatment procedures. The course offers opportunities such as live-streaming seminars, class discussions on complex data analysis from patient sources, advanced understanding of normal physiology in critically ill patients, focused systematic assessments leading to autonomous decision making by nurses assessing and managing the care needs of these high risk individuals with a variety of cardiovascular conditions. Graduates are prepared for senior roles within areas such as practice, education, leadership, research, and change agents promoting safe quality nursing practices across specialist cardiac settings while improving patient outcomes through evidence-based interventions that respond to industry trends in this field.","Cardiovascular diseases cause 27% of deaths in Australia.* As a registered nurse, Deakin’s Graduate Diploma of Cardiac Nursing will equip you with the analytical, practical, communication and leadership skills needed to perform a senior role in a multidisciplinary health team across a range of specialist cardiac settings.Study with one of Australia’s largest and most established nursing schools, ranked 20th in the world for nursing courses.^ Your learning will be informed by the latest trends in cardiac nursing practice and cutting-edge research, which is recognised as well above world standard.# Our strong industry connections mean you will be guided by experts in cardiac care nursing as you explore the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework around cardiac nursing and interventional cardiology.Are you ready for a senior position in cardiac care? If you want to take the next step in your nursing career, our Graduate Diploma of Cardiac Nursing will prepare you to become a leader and practise effectively at an advanced practice level in cardiac care settings. As a graduate you will demonstrate ethical, safe, high-quality, expert clinical decision-making abilities within an interdisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person-centred care. As a student of Deakin’s Graduate Diploma of Cardiac Nursing you will be challenged to advance your professional judgement by exploring the current and emerging trends, concepts, knowledge and evidence that provides the policy and practice framework around cardiac nursing and interventional cardiology. Second year elective units allow you to pursue your specific areas of interest and career goals. You can choose from complementary areas of practice to your specialisation, or undertake studies preparing you for roles in education, leadership or management. You will also have the opportunity to select a unit from anywhere across the university, further expanding your skill set. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your specialty practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: evaluate and intervene in response to complex data from patient and technologically-derived sources develop an advanced understanding of normal physiology, and the pathophysiology of illness and injury of critically ill patients perform focused, systematic and methodical patient assessments demonstrate advanced clinical judgement leading to autonomous decision-making assess and manage patients with a variety of complex cardiovascular conditions understand the risk management and quality nursing care required for cardiac patients undergoing interventional procedures explore advanced interventional treatment modalities combine advanced communication skills with professional knowledge to promote safe, high-quality care of patients across a range of specialist cardiac settings. You will be challenged to become a leader in evidence-based practice, and a change agent to improve the quality of nursing care and patient outcomes across a range of specialist cardiac settings. Graduates are prepared to handle the contemporary challenges nurses may face in cardiac nursing and interventional cardiology with a course that responds to industry trends and demands. You will learn how to make a difference through senior roles in areas such as practice, education, leadership and research. *Australian Government, Department of Health and Aged Care.^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018."
Graduate Certificate of Cardiac Nursing,"The Graduate Certificate Cardiac Nursing program at Deakin University is a comprehensive course that prepares students to become high-performing members on multidisciplinary health teams across specialist cardiac settings with advanced clinical decision making abilities and psycho motor skills commensurate with specialized theoretical knowledge in evidence based practice person centered care. The online learning experience provides an interactive, empowering environment for postgraduate nurses who can learn at their own pace without compromising quality or support from Australia's top-rated tech support staff. Graduates are prepared to handle the contemporary challenges faced by cardiac nursing and interventional cardiology with a course that responds to industry trends and demands in areas such as practice, education, leadership, research, making them ready for roles like Practice Nurse Specialist Cardiac Care or Clinical Research Coordinator where they can make an impact.","Cardiovascular diseases cause 27% of deaths in Australia.* As a registered nurse, Deakin’s Graduate Certificate of Cardiac Nursing will equip you with the analytical, practical, communication and leadership skills needed to be a high-performing member of a multidisciplinary health team across a range of specialist cardiac settings. Our School of Nursing and Midwifery has state-of-the-art facilities and is one of Australia’s most established and largest. Ranked 20th in the world, the School’s cutting-edge research is recognised as well above world standard.# Our strong industry connections mean you will be guided through world-class course work by experts in cardiac care nursing. Are you ready to be part of the future of cardiac care? If you want to take the next step in your nursing career, our Graduate Certificate of Cardiac Nursing prepares you to practise effectively at an advanced practice level in cardiac care settings. As a graduate you will demonstrate ethical, safe, high-quality, expert clinical decision-making abilities within an interdisciplinary team, and psychomotor skills commensurate with specialised theoretical knowledge, evidence-based practice and person-centred care. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your specialty practice area with one of our numerous metropolitan, rural and regional health partners across Australia. Our innovative online program delivers a rich, interactive and empowering learning experience designed for postgraduate nurses. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: evaluate and intervene in response to complex data from patient and technologically-derived sources develop an advanced understanding of normal physiology, and the pathophysiology of illness and injury of critically ill patients perform focused, systematic and methodical patient assessments demonstrate advanced clinical judgement leading to autonomous decision-making assess and manage patients with a variety of complex cardiovascular conditions understand the risk management and quality nursing care required for cardiac patients undergoing interventional procedures explore advanced interventional treatment modalities. Graduates are prepared to handle the contemporary challenges nurses may face in cardiac nursing and interventional cardiology with a course that responds to industry trends and demands. You will learn how to make a difference through roles in areas such as practice, education, leadership and research. *Australian Government, Department of Health and Aged Care. ^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018."
Graduate Certificate of Emergency Nursing,"The Graduate Certificate of Emergency Nursing program at Deakin University is designed to provide students with the knowledge, skillset, and practical experience necessary for advanced practice as emergency nurses within interdisciplinary teams that manage critically ill patients across a range of settings including hospitals, clinics/outpatient facilities, private practices. The course offers opportunities in clinical decision-making processes through evidence based care principles which are essential when working at an advanced level with complex patient populations such as those requiring critical interventions for life support and emergency medical procedures to stabilize the situation before transfer or transport. Students will also gain knowledge on risk assessment management techniques that can be applied within a variety of settings, including hospitals/clinics where patients may present in various states ranging from stable through unstable conditions with varying degrees of severity depending upon their underlying health status which is critical for emergency nurses to assess and manage effectively during the course.","Nurses working in emergency departments are often presented with the most varied, complex and often critically ill patients. As a registered nurse, Deakin’s Graduate Certificate of Emergency Nursing will build on your existing knowledge and skills, preparing you to practise effectively at an advanced practice level in emergency care settings.Our School of Nursing and Midwifery is ranked 20th in the world^. It is one of Australia’s best and most established schools with our cutting-edge nursing research recognised as well above world standard#. Our strong industry connections mean you will be guided by experts in emergency and critical care nursing as you explore the current and emerging trends, concept, knowledge and evidence that provides the policy and practice framework of emergency nursing.Are you ready to advance your existing knowledge and skills and take the next step in your nursing career? As a graduate of Deakin’s Graduate Certificate of Emergency Nursing you will demonstrate ethical, safe, high quality, expert clinical decision-making abilities within an interdisciplinary team. Your specialised theoretical knowledge, evidence-based practice and person-centred care will allow you to practise effectively at an advanced practice level in emergency care settings, ensuring you are well placed to meet the industry demand for nurses with speciality skills. Deakin’s strong industry connections ensure a high level of collaboration and support during your clinical practice. This means that while you study you can immerse yourself in your specialty practice area with one of our numerous metropolitan, rural and regional health partners across Australia Our innovative online program delivers a rich, interactive and empowering learning experience designed for nurses seeking a career in speciality practice. Live-streaming seminars and class discussions will encourage critical thinking, problem solving and teamwork skills. Australia’s top-rated tech support and access to our expert teaching staff means you can learn at your own pace, when and where it suits you, without compromising quality or support. This course enables you to: assess, prioritise, and manage ill and injured patients of all ages apply the principles, and concepts of patient assessment, triage, and risk assessment and management in a complex and dynamic practice setting assess and manage the care of specific patient groups: paediatrics, major and minor trauma, mental health, gynaecological, obstetric, oncology, older persons develop the decision-making autonomy, critical thinking and leadership skills, advanced clinical judgement and behaviours required for safe patient care, effective teamwork, and career advancement. Graduates are prepared to handle the contemporary challenges emergency nurses may face in a course that responds to industry trends and demands, and expectations from professional bodies. You will learn how to make a difference through roles in areas such as practice, education, leadership and research. ^2022 ShanghaiRankings Ranking of Academic Subjects.#Excellence in Research Australia (ERA) 2018."
Graduate Certificate of Health and Medical Research,"The Graduate Certificate Program at Deakin University is designed for graduates who have not fulfilled all requirements necessary for PhD entry but still wish to pursue a career as an academic researcher or clinician in clinical health services/research. The program offers access to world-class facilities while providing experiential training around project planning and execution, presentation of research findings, thesis writing skills development through the completion of 2 credit point research projects with ethical considerations incorporated into assessments tasks such as ethics committees approval processes for human participants involved in this study or other studies that may be conducted by Deakin University. The program also offers opportunities to work on real-world clinical health services/research problems and gain experience working within a range of healthcare settings, including hospitals, government agencies, medical bodies, research institutes, as well as non-profit organizations such as the Australian Red Cross Blood Service or Cancer Council Victoria.","Help improve the lives and communities we serve by driving evidence-based solutions that have a real-world impact across Australia and around the globe. Deakin’s Graduate Certificate of Health and Medical Research provides the opportunity to advance your career in clinical research; offering a unique and fast-tracked pathway to PhD study for graduates of undergraduate and postgraduate courses where the requirements for PhD entry have not been fulfilled. Are you ready to participate in cutting-edge research and drive change in your field? Under the guidance of some of the Australia’s leading researchers and benefiting from access to world-class facilities, you will graduate with skills highly sought after for academia, research institutes, hospitals, medical bodies, as well as government health and science agencies. Additionally, the unique structure of this course allows the minimum requirements for PhD entry at Deakin University, which is a 2 credit point research thesis, to be met as well as providing experiential training around project planning, execution, presentation, and thesis writing. Upon completing this course students will have utilised and improved on a range of skills such as critical thinking, complex problem solving, communication, and technical skills due to the composition of assessment tasks in research training, including ethics, and experiential research to demonstrate discipline specific knowledge and capabilities."
Bachelor of Environmental Science (Honours),"The Bachelor of Environmental Science (Honours) is an optional year-long program for students who are passionate about a chosen environmental science discipline and want to enhance their understanding while building research skills that will prepare them well for further study or career advancement in related fields. The coursework component provides essential knowledge such as experimental design, quantitative analysis, scientific communication, ethics; the project work allows participants to develop specific technical expertise through hands-on experience with real projects under supervision from experienced teachers and researchers who are leaders within their respective areas of interest. This program is a great pathway for further study or research training in related fields like masters programs (MSc) and PhDs as it broadens career options, provides specialized knowledge that sets you apart from others, prepares students to be experts with the necessary skills required by employers looking for candidates who have honed their expertise through this course.","The Bachelor of Environmental Science (Honours) allows you to enhance your understanding of a chosen environmental science discipline, while building key research and transferable skills that enhance your employment options and prepare you for further study. Honours is an optional year of specialised study that allows you to combine the theory and practical skills gained throughout your undergraduate studies. It is an opportunity to showcase your expertise in a discipline you are passionate about, and to develop invaluable research and life skills that will stay with you throughout your entire career.You’ve worked hard for your undergraduate degree. Why not take the next step with an honours degree that launches your career forward? With the support and supervision of experienced teachers who are leaders in their respective fields, you will explore research of national and global significance in areas including: behaviour, ecology, evolution and ecophysiology ecological risk assessment environmental management and sustainability fisheries and aquaculture marine and freshwater biology wildlife and conservation biology. The coursework component of this honours program equips you with the essential knowledge that underpins research – experimental design, quantitative analysis, scientific communication and ethics. The research project component enables you to develop the research skills necessary to investigate your area of interest. In addition to being an ideal pathway to further study and research training (including masters and PhD programs), the Bachelor of Environmental Science (Honours) broadens your career options and allows you to graduate with specialised knowledge and experience that puts you ahead of the pack."
