ID,CourseName,locationText
H911,Doctor of Medicine,This course is offered with blended delivery
M539,Executive Graduate Certificate of Sport Business,"This course is offered  in Trimester one, Online only"
M709,Executive Master of Sport Business,"This course is offered  in Trimester one and two, Online only"
E506,"Graduate Certificate of Adult, Vocational Education and Training","This course is offered  in Trimester one and two, Online only"
H575,Graduate Certificate of Advanced Nursing,"This course is offered  in Trimester one and two, Online only"
H522,Graduate Certificate of Agricultural Health and Medicine,"This course is offered  in Trimester one and two, Online only"
E537,Graduate Certificate of Applied Learning and Teaching,"This course is offered  in Trimester one and two, Online only"
S536,Graduate Certificate of Artificial Intelligence,"This course is offered  in Trimester one and two, at Geelong Waurn Ponds Campus and Online"
M553,Graduate Certificate of Artificial Intelligence for Business,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
M519,Graduate Certificate of Business (Arts and Cultural Management),"This course is offered  in Trimester one and two, Online only"
M518,Graduate Certificate of Business (Sport Management),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
M501,Graduate Certificate of Business Administration,"This course is offered  in Trimester one, two, and three, Online only"
M561,Graduate Certificate of Business Analytics,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H565,Graduate Certificate of Cardiac Nursing,"This course is offered  in Trimester one and two, Online only"
S508,Graduate Certificate of Cloud Architectures and Solutions,"This course is offered  in Trimester one and two, Online only"
M516,Graduate Certificate of Commerce,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
A539,Graduate Certificate of Communication,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
S591,Graduate Certificate of Construction Management,"This course is offered  in Trimester one, two, and three, at Geelong Waterfront Campus and Online"
H558,Graduate Certificate of Counselling,"This course is offered  in Trimester one, Online only"
A559,Graduate Certificate of Creative Arts,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus"
A504,Graduate Certificate of Criminology,"This course is offered  in Trimester one and two, Online only"
H567,Graduate Certificate of Critical Care Nursing,This course is offered Online only
A568,Graduate Certificate of Cultural Heritage and Museum Studies,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
S535,Graduate Certificate of Cyber Security,"This course is offered  in Trimester one, two, and three, at Geelong Waurn Ponds Campus and Online"
S576,Graduate Certificate of Data Analytics,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
H520,Graduate Certificate of Diabetes Education,"This course is offered  in Trimester one, Online only"
M535,Graduate Certificate of Digital Finance,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
M568,Graduate Certificate of Digital Transformation and Cyber Security,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H508,Graduate Certificate of Disability and Inclusion,"This course is offered  in Trimester one and two, Online only"
E511,Graduate Certificate of Education (International Baccalaureate Pyp Early Years),"This course is offered  in Trimester one and two, Online only"
